order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english
78a1a87882880114ee891ccdcbd1ccde,1,11875b30b49585209e608f40e8082e65,669ae81880e08f269a64487cfb287169,2017-01-31 11:45:18,65.0,14.62,6cfc3156dfe1802dfe72368fa29c63ca,delivered,2017-01-26 11:45:18,2017-01-26 11:55:22,2017-01-27 09:04:53,2017-02-03 10:11:46,2017-02-24 00:00:00,9fd8877693ff130016da781131003785,13214,jundiai,SP,esporte_lazer,26.0,1465.0,1.0,1032.0,17.0,15.0,16.0,sports_leisure
e55d5c08b9e26113f2f0b5b9ee191b65,1,c556dfe03a2efef617497a3de58cb44d,7e93a43ef30c4f03f38b393420bc753a,2017-08-31 11:45:39,185.99,19.84,d42b940e327caf15f20892bbf1c2258b,delivered,2017-08-25 11:35:57,2017-08-25 11:45:39,2017-08-28 21:04:28,2017-09-05 17:12:25,2017-09-29 00:00:00,6a40a9247c9c174b6ad64a6be330d0a7,50680,recife,PE,relogios_presentes,38.0,558.0,1.0,500.0,20.0,11.0,15.0,watches_gifts
dccb24d6f85976c77c64998e54d0f8f3,2,63f4d40c05db6ade462cecef857eec34,fec6275253471ace26d209bbaa64cd0f,2018-06-21 11:30:43,284.0,13.72,19d2fe3e9e67da50d9f93720a2b768e6,delivered,2018-06-15 11:08:54,2018-06-15 11:39:18,2018-06-18 13:53:00,2018-06-20 20:06:34,2018-07-13 00:00:00,3ff45f223bb4d6fc772a38ad5a7b1b33,24240,niteroi,RJ,beleza_saude,57.0,1277.0,1.0,1200.0,16.0,30.0,16.0,health_beauty
6ec1bea8cbcef0a1b81bc9b7fbd37ccb,1,41db6d8062fcd38410c699743ccc0265,92eb0f42c21942b6552362b9b114707d,2018-08-21 05:50:08,13.47,22.85,e6b5e20566e5c72cbaab04f91dec9c85,delivered,2018-08-07 05:42:46,2018-08-07 05:50:08,2018-08-13 09:24:00,2018-08-27 15:28:22,2018-09-18 00:00:00,8ad270ff4a5557d1a05e24abb6292017,65110,sao jose de ribamar,MA,telefonia,49.0,1438.0,2.0,125.0,19.0,5.0,11.0,telephony
53d1f26612893ef17dbc27d69a8382e4,1,3bc1b27ebc43f46dcb6aace1b65325a7,6cd68b3ed6d59aaa9fece558ad360c0a,2017-11-10 11:35:46,129.5,16.67,2622cbd2edf907bb373c679b09c01c01,delivered,2017-11-06 11:20:48,2017-11-06 12:31:54,2017-11-07 14:18:46,2017-11-13 17:48:39,2017-11-28 00:00:00,2583866968d72b2503e08837f6698689,28013,campos dos goytacazes,RJ,malas_acessorios,43.0,783.0,1.0,900.0,19.0,51.0,36.0,luggage_accessories
01ba9a2e5dcc1568b55695106d677b0c,1,2629c2e1e3a0b360912763741f1bb7ef,0bf0150d5b9d60d9cd2906003332f085,2017-03-02 22:42:03,59.9,9.41,0241bf6728f2c70f948e9a51484d1435,delivered,2017-02-26 22:28:40,2017-02-26 22:42:03,2017-03-02 13:37:11,2017-03-06 14:22:17,2017-03-20 00:00:00,cdf2b2b8c6e87bf77c870a059435a835,3972,sao paulo,SP,moveis_decoracao,50.0,844.0,3.0,900.0,86.0,4.0,20.0,furniture_decor
8c3c24873cc500e0003c7131265558da,2,422879e10f46682990de24d770e7f83d,1f50f920176fa81dab994f9023523100,2018-01-04 08:12:30,49.9,13.43,f25016ac73279ad09553297de654c03d,delivered,2017-12-28 08:02:02,2017-12-28 08:12:30,2018-01-03 20:46:56,2018-01-08 21:27:47,2018-01-23 00:00:00,00bfe974afd63b30ed282dc69892fb98,13478,americana,SP,ferramentas_jardim,56.0,348.0,2.0,1550.0,30.0,22.0,30.0,garden_tools
0cfc3c9271c77a02846073d54b147bf6,2,ddae29c2be667c7c87dea454585870e1,213b25e6f54661939f11710a6fddb871,2018-04-22 23:55:18,49.95,9.26,b64b8146f3738b7c8173ae099b5a03fd,delivered,2018-04-16 23:45:36,2018-04-16 23:55:18,2018-04-20 22:06:41,2018-04-23 19:49:08,2018-05-03 00:00:00,5979d961c6e1d37b4660dc62e1bc700d,11410,guaruja,SP,casa_construcao,59.0,881.0,5.0,600.0,21.0,18.0,21.0,home_construction
62a575a2a9f2c005b7ec7ff7dd76d5ee,1,b3821db2024af98844b6381cc25651c8,23a0ffca143a15b9b5bbdb7d552f626a,2018-07-26 19:50:14,99.99,27.65,8953a5c61a611a5a2779189ed24e6744,delivered,2018-07-23 19:55:20,2018-07-24 19:50:14,2018-07-25 13:40:00,2018-08-02 20:09:35,2018-08-16 00:00:00,1bd213456a494763b9c15492cf4d7005,45570,ipiau,BA,ferramentas_jardim,44.0,1843.0,4.0,1450.0,32.0,15.0,25.0,garden_tools
a47c6e02b84d8dea0ec21748a611293e,1,58c41dff5d439e3f6260765550748762,2bdb95a56a36ebbc6640337ac5eac174,2017-01-31 22:07:02,89.9,18.0,3e6d5ab80ad405a8ebfe75d52974e93c,delivered,2017-01-27 22:07:02,2017-01-31 04:40:23,2017-01-31 12:03:23,2017-02-02 18:33:50,2017-03-08 00:00:00,e7b4387753fe653df8d20554cb443465,8900,guararema,SP,beleza_saude,55.0,843.0,1.0,1600.0,47.0,18.0,26.0,health_beauty
